task_id,agent,run,attempt,generation_success,tests_executed,passed,recovery_attempted,recovery_success,final_success,failure_type,attempts_used,duration_seconds,returncode,error
task_28,baseline,1,1,True,True,True,False,False,True,success,1,0.96,0,
task_28,baseline,2,1,True,True,True,False,False,True,success,1,0.96,0,
task_28,baseline,3,1,True,True,True,False,False,True,success,1,0.96,0,
task_28,baseline,4,1,True,True,True,False,False,True,success,1,0.87,0,
task_28,baseline,5,1,True,True,True,False,False,True,success,1,0.77,0,
task_28,agent_02,1,1,True,True,True,False,False,True,success,1,0.99,0,
task_28,agent_02,2,1,True,True,True,False,False,True,success,1,0.9,0,
task_28,agent_02,3,1,True,True,True,False,False,True,success,1,1.24,0,
task_28,agent_02,4,1,True,True,True,False,False,True,success,1,0.76,0,
task_28,agent_02,5,1,True,True,True,False,False,True,success,1,0.92,0,
task_29,baseline,1,1,True,True,True,False,False,True,success,1,0.91,0,
task_29,baseline,2,1,True,True,True,False,False,True,success,1,0.65,0,
task_29,baseline,3,1,True,True,True,False,False,True,success,1,0.93,0,
task_29,baseline,4,1,True,True,True,False,False,True,success,1,1.04,0,
task_29,baseline,5,1,True,True,True,False,False,True,success,1,1.02,0,
task_29,agent_02,1,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,2,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,3,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,4,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,5,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,baseline,1,1,True,True,True,False,False,True,success,1,1.96,0,
task_29,baseline,2,1,True,True,True,False,False,True,success,1,1.58,0,
task_29,baseline,3,1,True,True,True,False,False,True,success,1,2.06,0,
task_29,baseline,4,1,True,True,True,False,False,True,success,1,0.97,0,
task_29,baseline,5,1,True,True,True,False,False,True,success,1,0.98,0,
task_29,agent_02,1,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,2,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,3,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,4,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,agent_02,5,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_29
task_29,baseline,1,1,True,True,True,False,False,True,success,1,2.65,0,
task_29,baseline,2,1,True,True,True,False,False,True,success,1,1.98,0,
task_29,baseline,3,1,True,True,True,False,False,True,success,1,1.22,0,
task_29,baseline,4,1,True,True,True,False,False,True,success,1,1.37,0,
task_29,baseline,5,1,True,True,True,False,False,True,success,1,1.67,0,
task_29,agent_02,1,1,True,True,True,False,False,True,success,1,1.72,0,
task_29,agent_02,2,1,True,True,True,False,False,True,success,1,1.02,0,
task_29,agent_02,3,1,True,True,True,False,False,True,success,1,1.04,0,
task_29,agent_02,4,1,True,True,True,False,False,True,success,1,1.68,0,
task_29,agent_02,5,1,True,True,True,False,False,True,success,1,1.19,0,
task_30,baseline,1,1,True,True,True,False,False,True,success,1,1.08,0,
task_30,baseline,2,1,True,True,True,False,False,True,success,1,1.08,0,
task_30,baseline,3,1,True,True,True,False,False,True,success,1,1.72,0,
task_30,baseline,4,1,True,True,True,False,False,True,success,1,3.7,0,
task_30,baseline,5,1,True,True,True,False,False,True,success,1,3.49,0,
task_30,agent_02,1,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_30
task_30,agent_02,2,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_30
task_30,agent_02,3,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_30
task_30,agent_02,4,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_30
task_30,agent_02,5,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_30
task_30,baseline,1,1,True,True,True,False,False,True,success,1,0.85,0,
task_30,baseline,2,1,True,True,True,False,False,True,success,1,1.07,0,
task_30,baseline,3,1,True,True,True,False,False,True,success,1,0.91,0,
task_30,baseline,4,1,True,True,True,False,False,True,success,1,0.96,0,
task_30,baseline,5,1,True,True,True,False,False,True,success,1,0.98,0,
task_30,agent_02,1,1,True,True,True,False,False,True,success,1,1.0,0,
task_30,agent_02,2,1,True,True,True,False,False,True,success,1,1.32,0,
task_30,agent_02,3,1,True,True,True,False,False,True,success,1,1.9,0,
task_30,agent_02,4,1,True,True,True,False,False,True,success,1,2.36,0,
task_30,agent_02,5,1,True,True,True,False,False,True,success,1,1.25,0,
task_31,baseline,1,1,True,True,True,False,False,True,success,1,1.42,0,
task_31,baseline,2,1,True,True,True,False,False,True,success,1,1.47,0,
task_31,baseline,3,1,True,True,True,False,False,True,success,1,1.93,0,
task_31,baseline,4,1,True,True,True,False,False,True,success,1,1.17,0,
task_31,baseline,5,1,True,True,True,False,False,True,success,1,0.92,0,
task_31,agent_02,1,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_31
task_31,agent_02,2,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_31
task_31,agent_02,3,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_31
task_31,agent_02,4,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_31
task_31,agent_02,5,0,True,False,False,False,False,False,agent_not_implemented,0,0,1,Unknown task: task_31
task_31,baseline,1,1,True,True,True,False,False,True,success,1,1.02,0,
task_31,baseline,2,1,True,True,True,False,False,True,success,1,1.46,0,
task_31,baseline,3,1,True,True,True,False,False,True,success,1,2.02,0,
task_31,baseline,4,1,True,True,True,False,False,True,success,1,1.73,0,
task_31,baseline,5,1,True,True,True,False,False,True,success,1,2.81,0,
task_31,agent_02,1,1,True,True,False,False,False,False,test_failure,1,2.2,1,
task_31,agent_02,2,1,True,True,False,False,False,False,test_failure,1,3.88,1,
task_31,agent_02,3,1,True,True,False,False,False,False,test_failure,1,1.41,1,
task_31,agent_02,4,1,True,True,False,False,False,False,test_failure,1,1.06,1,
task_31,agent_02,5,1,True,True,False,False,False,False,test_failure,1,1.75,1,
task_31,baseline,1,1,True,True,True,False,False,True,success,1,0.96,0,
task_31,baseline,2,1,True,True,True,False,False,True,success,1,1.4,0,
task_31,baseline,3,1,True,True,True,False,False,True,success,1,1.0,0,
task_31,baseline,4,1,True,True,True,False,False,True,success,1,1.0,0,
task_31,baseline,5,1,True,True,True,False,False,True,success,1,1.17,0,
task_31,agent_02,1,1,True,True,True,False,False,True,success,1,1.2,0,
task_31,agent_02,2,1,True,True,True,False,False,True,success,1,3.27,0,
task_31,agent_02,3,1,True,True,True,False,False,True,success,1,0.98,0,
task_31,agent_02,4,1,True,True,True,False,False,True,success,1,0.97,0,
task_31,agent_02,5,1,True,True,True,False,False,True,success,1,1.05,0,
task_32,baseline,1,1,True,True,False,False,False,False,test_failure,1,2.71,1,
task_32,baseline,2,1,True,True,False,False,False,False,test_failure,1,2.24,1,
task_32,baseline,3,1,True,True,False,False,False,False,test_failure,1,2.65,1,
task_32,baseline,4,1,True,True,False,False,False,False,test_failure,1,2.07,1,
task_32,baseline,5,1,True,True,False,False,False,False,test_failure,1,4.24,1,
task_32,agent_02,1,1,True,True,True,False,False,True,success,1,2.29,0,
task_32,agent_02,2,1,True,True,True,False,False,True,success,1,2.11,0,
task_32,agent_02,3,1,True,True,True,False,False,True,success,1,2.11,0,
task_32,agent_02,4,1,True,True,True,False,False,True,success,1,2.04,0,
task_32,agent_02,5,1,True,True,True,False,False,True,success,1,2.19,0,
task_29,baseline,1,1,True,True,True,False,False,True,success,1,1.47,0,
task_29,baseline,2,1,True,True,True,False,False,True,success,1,1.12,0,
task_29,baseline,3,1,True,True,True,False,False,True,success,1,1.09,0,
task_29,baseline,4,1,True,True,True,False,False,True,success,1,1.05,0,
task_29,baseline,5,1,True,True,True,False,False,True,success,1,1.04,0,
task_29,agent_02,1,1,True,True,True,False,False,True,success,1,1.65,0,
task_29,agent_02,2,1,True,True,True,False,False,True,success,1,1.5,0,
task_29,agent_02,3,1,True,True,True,False,False,True,success,1,2.11,0,
task_29,agent_02,4,1,True,True,True,False,False,True,success,1,2.58,0,
task_29,agent_02,5,1,True,True,True,False,False,True,success,1,2.76,0,
task_30,baseline,1,1,True,True,True,False,False,True,success,1,1.0,0,
task_30,baseline,2,1,True,True,True,False,False,True,success,1,1.46,0,
task_30,baseline,3,1,True,True,True,False,False,True,success,1,1.44,0,
task_30,baseline,4,1,True,True,True,False,False,True,success,1,6.16,0,
task_30,baseline,5,1,True,True,True,False,False,True,success,1,3.01,0,
task_30,agent_02,1,1,True,True,True,False,False,True,success,1,7.0,0,
task_30,agent_02,2,1,True,True,True,False,False,True,success,1,0.98,0,
task_30,agent_02,3,1,True,True,True,False,False,True,success,1,1.22,0,
task_30,agent_02,4,1,True,True,True,False,False,True,success,1,1.14,0,
task_30,agent_02,5,1,True,True,True,False,False,True,success,1,1.03,0,
task_01,baseline,1,1,True,True,True,False,False,True,success,1,0.93,0,
task_01,baseline,2,1,True,True,True,False,False,True,success,1,1.0,0,
